nom_produit,categorie,prix,magasin,date_scraping,url_produit
VIP SPRITE BTLLE 30CL,Boissons,25022516.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-gazeuses-soft-drinks-soda/784-vip-sprite-btlle-30cl-90377266.html
GAZELLE ANANAS PET 1L,Boissons,51534.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-gazeuses-soft-drinks-soda/1118-gazelle-ananas-pet-1l-3700029401723.html
OKF Farmer's Aloe Vera original 1.5 L,Boissons,21503.0,Auchan,2026-04-14,https://www.auchan.sn/nectar-jus-de-fruits-legumes/6766-okf-farmer-s-aloe-vera-original-15-l-8809041427386.html
Pepsi cola pet 33CL,Boissons,22512.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-gazeuses-soft-drinks-soda/5032-pepsi-cola-pet-33cl-9501100461261.html
Présséa Fresh jus tropical canette 250ml,Boissons,32056.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-gazeuses-soft-drinks-soda/3539-pressea-fresh-jus-tropical-canette-250ml-9501100460387.html
Auchan lait concentré non sucré 410G,Boissons,205022.0,Auchan,2026-04-14,https://www.auchan.sn/lait-liquide-lait-concentre-lait-aromatique/3659-auchan-lait-concentre-non-sucre-410g-3596710451524.html
AUCHAN Boisson Peche Light,Boissons,17254.0,Auchan,2026-04-14,https://www.auchan.sn/the-infusion-fruites-glaces/2242-auchan-boisson-peche-light-3596710243914.html
World Coca 1L,Boissons,4904.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-gazeuses-soft-drinks-soda/6844-world-coca-1l-9501100005533.html
Spring Valley 100% Jus de Pomme 33CL,Boissons,85079024.0,Auchan,2026-04-14,https://www.auchan.sn/nectar-jus-de-fruits-legumes/6768-spring-valley-100-jus-de-pomme-33cl-3516130000652.html
Boisson anans JET7 330ML,Boissons,19012.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-gazeuses-soft-drinks-soda/7817-boisson-anans-jet7-330ml-6046000040541.html
Boisson gazeuse JET7 Multi Red 330ML,Boissons,19012.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-gazeuses-soft-drinks-soda/7816-boisson-gazeuse-jet7-multi-red-330ml-6046000040565.html
San Pellegrino eau minérale naturelle gazeuse 6x50cl,Boissons,509014.0,Auchan,2026-04-14,https://www.auchan.sn/eaux-gazeuses-aromatisees/4952-san-pellegrino-eau-minerale-naturelle-gazeuse-6x50cl-8002270049941.html
NECTAR GOYAVE BRIQUE 1 LITRE,Boissons,1525119012.0,Auchan,2026-04-14,https://www.auchan.sn/nectar-jus-de-fruits-legumes/502-nectar-goyave-brique-1-litre-3516130001208.html
ZENA Sirop De Gingembre 75CL,Boissons,245010.0,Auchan,2026-04-14,https://www.auchan.sn/sirops-jus-instantanes-en-poudre/2919-zena-sirop-de-gingembre-75cl-6044000007052.html
Schweppes Agrumes Tonic canette 25cl,Boissons,350159.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-gazeuses-soft-drinks-soda/798-schweppes-agrumes-tonic-canette-25cl-5449000174031.html
Sun Top Mangue 125ML,Boissons,16533.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-petits-formats-enfants/794-sun-top-mangue-125ml-6281012033260.html
